id,"name",artist_id,"created_at","updated_at",display
1,"あなたなしでは生きてゆけない",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
2,"BERRY FIELDS",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
3,"ファイティングポーズはダテじゃない！",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
4,"夏わかめ",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
5,"ピリリと行こう！",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
6,"かっちょええ！",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
7,"日直〜芸能人の会話〜",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
8,"恋はひっぱりだこ",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
9,"蝉",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
10,"安心感",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
11,"小遣いUP大作戦",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
12,"TODAY IS MY BIRTHDAY",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
13,"Bye Bye またね",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
14,"Hello!のテーマ(Berryz工房 Version)",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
15,"友情 純情 oh 青春",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
16,"恋の呪縛",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
17,"パッション E-CHA E-CHA",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
18,"スッペシャル ジェネレ〜ション",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
19,"恋してる時はいつも…",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
20,"夢で ドゥーアップ",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
21,"21時までのシンデレラ",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
22,"秘密のウ・タ・ヒ・メ",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
23,"ハピネス〜幸福歓迎！〜",9,"2015-11-15 19:12:49","2015-11-15 19:12:49",1
